ticker,group,date,close,chg_1d_pct,ema10,ema21,sma50,sma200,ma_stack_bull,ma_stack_bear,atr14,atr_pct,atr_vs_50d,ext_21ema_atr,ext_50sma_atr,volume,vol_ratio_50d,dollar_vol_20d_m,close_pos_in_bar,prior_20d_high,prior_20d_low,high_52w,low_52w,dist_52w_high_pct,inside_day,nr7,perf_1m,perf_3m,perf_6m,dist_days_25,rs_1m_vs_spy,rs_3m_vs_spy,rs_6m_vs_spy,rs_line_52w_high,rs_leads_price
LQD,macro,2026-09-17,105.16,0.68,104.859,105.181,105.686,106.843,False,False,0.504,0.479,1.097,-0.041,-1.044,29644300.0,1.032,2884.551,1.0,106.503,104.05,108.921,104.05,-3.453,False,False,-0.225,-2.15,-0.934,4,0.407,-5.336,-16.843,False,False
TLT,macro,2026-09-17,81.78,1.113,81.393,81.713,82.322,84.383,False,False,0.689,0.843,1.131,0.097,-0.786,41622600.0,1.379,2604.556,0.973,83.281,80.46,88.488,80.46,-7.581,False,False,0.531,-4.172,-3.756,7,1.163,-7.357,-19.665,False,False
^IRX,macro,2026-09-18,3.978,0.328,3.903,3.838,3.753,3.637,True,False,0.029,0.737,1.102,4.778,7.663,0.0,,,0.765,3.97,3.66,3.982,3.507,-0.1,False,False,7.514,8.748,10.133,0,8.353,6.624,-6.062,False,False
^TNX,macro,2026-09-18,4.998,1.031,4.928,4.851,4.718,4.399,True,False,0.062,1.245,1.107,2.357,4.498,0.0,,,0.73,5.016,4.621,5.016,3.947,-0.359,False,False,7.415,12.289,16.748,0,8.255,10.165,0.554,False,False
^VIX,macro,2026-09-18,14.81,-4.08,16.062,15.93,16.174,18.089,False,False,1.46,9.861,0.896,-0.767,-0.934,0.0,,,0.012,18.94,13.8,35.3,13.38,-58.045,False,True,-7.495,-14.294,-43.365,0,-7.495,-16.74,-60.025,False,False
^VIX3M,macro,2026-09-18,18.24,-1.671,18.744,18.668,18.978,20.523,False,False,0.778,4.263,0.907,-0.55,-0.949,0.0,,,0.041,20.35,17.21,29.46,10.06,-38.086,False,False,-1.777,-6.796,-28.583,0,-0.937,-8.92,-44.777,False,False
COPX,sector,2026-09-17,86.61,2.874,87.993,88.737,85.078,81.524,False,False,3.018,3.485,1.049,-0.705,0.508,2029800.0,0.678,302.921,0.447,97.59,83.1,99.651,50.958,-13.087,False,True,1.215,0.166,15.981,8,1.847,-3.019,0.072,False,False
GDX,sector,2026-09-17,95.92,3.362,96.058,95.565,87.581,90.562,False,False,3.555,3.706,1.065,0.1,2.346,21160100.0,0.962,2327.864,0.659,105.67,91.19,117.18,66.775,-18.143,False,False,7.836,13.703,8.864,7,8.468,10.517,-7.044,False,False
SMH,sector,2026-09-17,560.61,2.759,555.676,559.081,565.479,486.13,False,False,16.155,2.882,0.701,0.095,-0.301,6164200.0,0.674,3612.81,0.724,580.57,537.73,671.83,300.435,-16.555,False,True,-1.608,-10.154,42.406,5,-0.976,-13.34,26.498,False,False
XLB,sector,2026-09-17,50.71,0.695,51.163,51.667,51.774,50.144,False,False,0.783,1.544,0.909,-1.222,-1.359,9063800.0,0.828,580.772,0.388,54.19,49.91,54.19,41.479,-6.422,True,False,-2.066,-2.154,5.458,9,-1.434,-5.339,-10.451,False,False
XLC,sector,2026-09-17,112.35,-0.575,112.716,112.26,111.181,113.642,False,False,1.695,1.509,0.919,0.053,0.689,4251200.0,0.839,476.738,0.082,115.26,110.25,119.711,105.03,-6.149,False,False,1.693,3.152,-0.579,8,2.325,-0.033,-16.488,False,False
XLE,sector,2026-09-17,64.48,0.703,64.585,63.786,60.987,55.217,False,False,1.325,2.055,1.102,0.524,2.636,35534300.0,1.227,1933.023,0.962,66.17,61.31,66.17,41.421,-2.554,False,False,1.256,18.795,11.876,6,1.888,15.609,-4.032,False,False
XLF,sector,2026-09-17,55.88,-0.089,56.836,57.159,57.173,53.434,False,False,0.724,1.295,1.063,-1.767,-1.786,29191300.0,0.935,1745.389,0.381,58.6,55.44,58.6,47.504,-4.642,True,False,-3.389,3.748,15.099,8,-2.757,0.562,-0.809,False,False
XLI,sector,2026-09-17,169.01,0.178,171.29,174.2,179.205,171.046,False,False,2.562,1.516,0.914,-2.026,-3.98,5851100.0,0.883,1255.725,0.123,184.62,167.49,188.19,145.868,-10.192,False,False,-7.932,-5.665,2.859,9,-7.3,-8.851,-13.05,False,False
XLK,sector,2026-09-17,188.06,2.245,185.746,185.332,183.032,162.0,True,False,3.516,1.87,0.746,0.776,1.43,7390700.0,0.987,1183.758,0.739,189.08,178.82,198.493,126.529,-5.256,False,False,1.315,1.337,36.647,4,1.946,-1.849,20.739,False,False
XLP,sector,2026-09-17,83.49,0.192,83.925,84.43,84.927,82.943,False,False,1.004,1.203,0.772,-0.936,-1.43,7635600.0,0.752,828.138,0.681,87.47,82.85,89.018,73.634,-6.21,False,False,-2.442,0.465,2.302,8,-1.81,-2.72,-13.606,False,False
XLRE,sector,2026-09-17,42.94,0.304,43.35,43.826,44.635,42.765,False,False,0.543,1.265,0.915,-1.632,-3.12,4356100.0,0.879,215.48,0.292,45.465,42.605,46.455,39.117,-7.566,True,False,-3.787,-1.487,3.778,8,-3.155,-4.672,-12.131,False,False
XLU,sector,2026-09-17,41.69,0.895,42.127,42.663,43.9,44.233,False,True,0.627,1.505,0.916,-1.552,-3.523,20994900.0,1.063,893.94,0.841,44.38,41.15,47.407,40.773,-12.06,False,True,-5.293,-5.632,-9.588,9,-4.661,-8.817,-25.496,False,False
XLV,sector,2026-09-17,168.81,0.62,168.366,168.766,166.628,155.105,False,False,2.37,1.404,0.867,0.018,0.921,5832200.0,0.678,1253.14,0.784,176.6,165.11,176.6,132.035,-4.411,False,False,-0.542,12.504,15.707,5,0.09,9.318,-0.201,False,False
XLY,sector,2026-09-17,111.39,1.098,112.583,114.035,115.488,116.61,False,True,1.671,1.5,0.886,-1.583,-2.453,4508600.0,0.661,665.908,0.206,119.06,109.63,124.511,104.981,-10.538,False,False,-4.271,-3.358,1.145,6,-3.639,-6.544,-14.763,False,False
XME,sector,2026-09-17,111.32,2.344,113.237,114.436,110.824,113.507,False,False,3.554,3.193,0.979,-0.877,0.139,1157500.0,0.588,205.46,0.441,123.81,106.86,135.503,85.414,-17.847,False,False,-2.033,-5.907,3.295,9,-1.401,-9.093,-12.614,False,False
AAPL,watchlist,2026-09-17,337.0,1.381,328.536,323.506,319.622,285.675,True,False,7.408,2.198,0.921,1.822,2.346,36700200.0,0.774,13251.538,0.836,336.22,307.01,344.273,235.779,-2.113,False,False,8.699,13.969,35.073,4,9.331,10.783,19.165,False,False
